date,Total Revenue,Net Income,EBITDA,Operating Income,R&D,SG&A,Total Assets,Total Liabilities,Long Term Debt,Current Liabilities,Cash and Equivalents,Stockholders Equity,Operating Cash Flow,Free Cash Flow,Capital Expenditure,Net Profit Margin,Operating Margin,R&D Intensity,SG&A Ratio,ROA,ROE,Debt to Equity,Long-term Debt Ratio,Current Ratio,FCF Margin,tic
2024-09-30,391035000000.0,93736000000.0,134661000000.0,123216000000.0,31370000000.0,26097000000.0,364980000000.0,308030000000.0,85750000000.0,176392000000.0,29943000000.0,56950000000.0,118254000000.0,108807000000.0,-9447000000.0,0.23971255769943867,0.31510222870075566,0.08022299794136074,0.06673827151022287,0.25682503150857583,1.6459350307287095,5.408779631255487,0.23494438051400077,2.069141457662479,0.27825386474356517,AAPL
2023-09-30,383285000000.0,96995000000.0,125820000000.0,114301000000.0,29915000000.0,24932000000.0,352583000000.0,290437000000.0,95281000000.0,145308000000.0,29965000000.0,62146000000.0,110543000000.0,99584000000.0,-10959000000.0,0.2530623426432028,0.2982141226502472,0.07804897139204509,0.06504820172978332,0.27509834563776475,1.5607601454639075,4.673462491552152,0.27023707892893306,2.426452776171993,0.25981710737440805,AAPL
2022-09-30,394328000000.0,99803000000.0,130541000000.0,119437000000.0,26251000000.0,25094000000.0,352755000000.0,302083000000.0,98959000000.0,153982000000.0,23646000000.0,50672000000.0,122151000000.0,111443000000.0,-10708000000.0,0.2530964070519973,0.30288744395528594,0.06657148363798665,0.06363737802032826,0.2829244092925685,1.9695887275023682,5.961536943479634,0.2805318138651472,2.290884648855061,0.2826149804223895,AAPL
2021-09-30,365817000000.0,94680000000.0,123136000000.0,108949000000.0,21914000000.0,21973000000.0,351002000000.0,287912000000.0,109106000000.0,125481000000.0,34940000000.0,63090000000.0,104038000000.0,92953000000.0,-11085000000.0,0.2588179335569424,0.29782377527561593,0.059904269074427925,0.06006555190163388,0.26974205275183616,1.5007132667617689,4.563512442542399,0.3108415336664748,2.797252173635849,0.2540969938521173,AAPL
