date,Total Revenue,Net Income,EBITDA,Operating Income,R&D,SG&A,Total Assets,Total Liabilities,Long Term Debt,Current Liabilities,Cash and Equivalents,Operating Cash Flow,Free Cash Flow,Capital Expenditure,tic
2024-12-31,350018000000.0,100118000000.0,135394000000.0,112390000000.0,49326000000.0,41996000000.0,450256000000.0,125172000000.0,10883000000.0,89122000000.0,23466000000.0,125299000000.0,72764000000.0,-52535000000.0,GOOGL
2023-12-31,307394000000.0,73795000000.0,97971000000.0,84293000000.0,45427000000.0,44342000000.0,402392000000.0,119013000000.0,11870000000.0,81814000000.0,24048000000.0,101746000000.0,69495000000.0,-32251000000.0,GOOGL
2022-12-31,282836000000.0,59972000000.0,85160000000.0,74842000000.0,39500000000.0,42291000000.0,365264000000.0,109120000000.0,12857000000.0,69300000000.0,21879000000.0,91495000000.0,60010000000.0,-31485000000.0,GOOGL
2021-12-31,257637000000.0,76033000000.0,103521000000.0,78714000000.0,31562000000.0,36422000000.0,359268000000.0,107633000000.0,12844000000.0,64254000000.0,20945000000.0,91652000000.0,67012000000.0,-24640000000.0,GOOGL
