date,Total Revenue,Net Income,EBITDA,Operating Income,R&D,SG&A,Total Assets,Total Liabilities,Long Term Debt,Current Liabilities,Cash and Equivalents,Operating Cash Flow,Free Cash Flow,Capital Expenditure,tic
2024-09-30,391035000000.0,93736000000.0,134661000000.0,123216000000.0,31370000000.0,26097000000.0,364980000000.0,308030000000.0,85750000000.0,176392000000.0,29943000000.0,118254000000.0,108807000000.0,-9447000000.0,AAPL
2023-09-30,383285000000.0,96995000000.0,125820000000.0,114301000000.0,29915000000.0,24932000000.0,352583000000.0,290437000000.0,95281000000.0,145308000000.0,29965000000.0,110543000000.0,99584000000.0,-10959000000.0,AAPL
2022-09-30,394328000000.0,99803000000.0,130541000000.0,119437000000.0,26251000000.0,25094000000.0,352755000000.0,302083000000.0,98959000000.0,153982000000.0,23646000000.0,122151000000.0,111443000000.0,-10708000000.0,AAPL
2021-09-30,365817000000.0,94680000000.0,123136000000.0,108949000000.0,21914000000.0,21973000000.0,351002000000.0,287912000000.0,109106000000.0,125481000000.0,34940000000.0,104038000000.0,92953000000.0,-11085000000.0,AAPL
