date,Total Revenue,Net Income,EBITDA,Operating Income,R&D,SG&A,Total Assets,Total Liabilities,Long Term Debt,Current Liabilities,Cash and Equivalents,Stockholders Equity,Operating Cash Flow,Free Cash Flow,Capital Expenditure,Net Profit Margin,Operating Margin,R&D Intensity,SG&A Ratio,ROA,ROE,Debt to Equity,Long-term Debt Ratio,Current Ratio,FCF Margin,tic
2024-12-31,350018000000.0,100118000000.0,135394000000.0,112390000000.0,49326000000.0,41996000000.0,450256000000.0,125172000000.0,10883000000.0,89122000000.0,23466000000.0,325084000000.0,125299000000.0,72764000000.0,-52535000000.0,0.28603671811164,0.32109777211457696,0.14092418104211785,0.1199824009050963,0.22235794747876764,0.30797578472025694,0.38504509603671666,0.02417069400518816,5.052130787011063,0.20788645155392008,GOOGL
2023-12-31,307394000000.0,73795000000.0,97971000000.0,84293000000.0,45427000000.0,44342000000.0,402392000000.0,119013000000.0,11870000000.0,81814000000.0,24048000000.0,283379000000.0,101746000000.0,69495000000.0,-32251000000.0,0.24006649446638517,0.27421810445226646,0.14778102370247956,0.14425135168545905,0.18339082287918249,0.26041096905557576,0.41997819175027085,0.02949859838167757,4.91837582809788,0.22607793255561268,GOOGL
2022-12-31,282836000000.0,59972000000.0,85160000000.0,74842000000.0,39500000000.0,42291000000.0,365264000000.0,109120000000.0,12857000000.0,69300000000.0,21879000000.0,256144000000.0,91495000000.0,60010000000.0,-31485000000.0,0.2120380715326196,0.2646127084246701,0.13965690364734334,0.14952481296581766,0.16418809409084936,0.2341339246673746,0.42601036916734336,0.035199198388015246,5.270764790764791,0.21217242500954617,GOOGL
2021-12-31,257637000000.0,76033000000.0,103521000000.0,78714000000.0,31562000000.0,36422000000.0,359268000000.0,107633000000.0,12844000000.0,64254000000.0,20945000000.0,251635000000.0,91652000000.0,67012000000.0,-24640000000.0,0.2951167728237792,0.3055228868524319,0.12250569599863374,0.14136944615874272,0.21163309841121392,0.30215590041131,0.4277346156138852,0.035750470400926326,5.591371743393408,0.2601023921253547,GOOGL
